Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human_Gene_Atlas	721 B lymphoblasts	47/1543	8.627632199905085e-16	7.247211047920272e-14	0	0	3.737440807287215	129.63833463459142	TOP2A;MTCH2;FH;PCNA;RNASEH2A;MRPS16;CDCA3;MCM7;MRPL16;MRPL17;MRPL37;SMC4;MRPL13;TIMM50;SMC2;CKS1B;BCL2L12;MRPL4;CCNB1;CCND2;PSMB2;TIMM17A;NUSAP1;MYBL2;ADSL;RFC4;MRPS22;PLK1;TIMM44;KIF22;SSRP1;SMC1A;PAICS;ZWINT;ATOX1;PSMA5;TPX2;NUDT21;NASP;UBE2T;MRTO4;SRPRB;BIRC5;POLR3H;MCM5;MCM6;DTL
Human_Gene_Atlas	CD105+ Endothelial	10/370	0.0009371941838025166	0.0393621557197057	0	0	3.3161996352180405	23.122600090465173	TOP2A;COPS3;DTYMK;RFC4;GAR1;MRPL37;ATAD3A;SMC4;DTL;SMC2
Human_Gene_Atlas	Lymphoma burkitts(Daudi)	6/139	0.0009835045647993293	0.027538127814381218	0	0	5.296376395815863	36.67416663510861	RNASEH2A;TMEM106C;CD38;SSRP1;WDR43;CKS1B
Human_Gene_Atlas	CD71+ EarlyErythroid	10/553	0.015412498768567663	0.3236624741399209	0	0	2.2187954159686707	9.258093589655894	CCNB1;PTTG1;UBE2T;NUSAP1;BIRC5;MYBL2;KIF22;TUBG1;SMC4;SMC2
Human_Gene_Atlas	BronchialEpithelialCells	6/280	0.027441244059205373	0.4610129001946503	0	0	2.629272567922875	9.454096774016383	GPR153;EI24;TIMM17A;UCHL3;MRPL13;HSP90B1
Human_Gene_Atlas	Leukemialymphoblastic(MOLT-4)	3/118	0.0720935895031085	1.0	0	0	3.119475928044089	8.203567068218836	TPX2;CDC45;SMC2
Human_Gene_Atlas	Leukemia chronicMyelogenousK-562	3/124	0.08093015676662449	0.971161881199494	0	0	2.9685335444290524	7.463394295701478	SDF2L1;CDC45;CKS1B
Human_Gene_Atlas	Leukemia promyelocytic-HL-60	2/62	0.09095549829628474	0.9550327321109898	0	0	3.9580447259054035	9.48895674565791	MRTO4;ATAD3A
Human_Gene_Atlas	retina	4/218	0.10313118396906516	0.962557717044608	0	0	2.2513648899645413	5.1145460018338165	MPP4;PODXL;POLR3H;ADH5
Human_Gene_Atlas	Trachea	2/72	0.11676915664319673	0.9808609158028524	0	0	3.4083162917518752	7.319551170062145	XBP1;MATN1
Human_Gene_Atlas	SmoothMuscle	5/363	0.175489107147803	1.0	0	0	1.6900741942571282	2.9410304475931177	MRPL52;CXCL6;LMAN1;SEC61G;HSP90B1
Human_Gene_Atlas	Pancreas	2/96	0.1843774218092012	1.0	0	0	2.5562372188139055	4.322010267735108	IGKC;POLR3H
Human_Gene_Atlas	Tonsil	1/26	0.1917641217146227	1.0	0	0	4.719207173194903	7.7937196552887205	IGKC
Human_Gene_Atlas	ParietalLobe	1/26	0.1917641217146227	1.0	0	0	4.719207173194903	7.7937196552887205	NCAM1
Human_Gene_Atlas	Testis	5/384	0.204833122755204	1.0	0	0	1.5976482617586911	2.5331666454033788	TKTL1;MTCH2;RUVBL2;CLTCL1;KPNA2
Human_Gene_Atlas	Thyroid	5/388	0.21060247994663586	1.0	0	0	1.5811776611220036	2.463131528250178	HSPA5;CALR;CRELD2;TXNDC15;HSP90B1
