Organ	Cell type	Subtype	Positive	Negative	citation	comments
Spleen	T-cells	Naive	"CD45RA, CCR7, CD62L, CD127, CD132, CD45, CD27"		https://www.labome.com/method/T-Cell-Markers-and-B-Cell-Markers.html	
		Follicular helper T cells	"CXCR5, CD28, OX40, ICOS, CD154"		10.3324/haematol.2009.019133	
		Follicular regulator T cells	"CXCR5, PD-1, ICOS, CTLA-4, GITR, ICOS, IL-10"		10.3389/fimmu.2018.01792	"Proportions: CCR7-CD45RA+ CD8+ (more in spleen than PB), non-cytotoxic more than cytotoxic"
	Dendritic cells	CD8+	"Clec9A (DNGR 1), CD205 (DEC205), Clec12A, CD36, CD24 (HSA), CD172a (SIRPalpha), CD11b (Mac1), Cystatin C, TLR 3, TLR12 (TLR11)"		https://doi.org/10.1111/j.0105-2896.2009.00870.x	
		CD8-	" CD205 (DEC205), Clec12A , DCIR2 (33DI), Dectin 1, CD24 (HSA), CD172a (SIRPalpha), CD11b (Mac1), TLR 7"		https://doi.org/10.1111/j.0105-2896.2009.00870.x	
		Follicular DCs	" CD23, CD35"			
		CD8+ standard	JIId(CD24) NLI45(CD205) 	33D1 (DCIR2)	https://doi.org/10.1111/j.0105-2896.2009.00870.x	
	B-cells	Follicular	"IgM, CD23, IgD"	CD21/35	https://www.novusbio.com/antibody-news/how-to-identify-b-cell-subsets-using-flow-cytometry	
		Marginal zone	"CD19,CD21,CD24,IgM, B220, CD35"	CD23	https://www.novusbio.com/antibody-news/how-to-identify-b-cell-subsets-using-flow-cytometry	
		Memory	"IgM, CD27, IgG, IgA, CD38, CD138"		https://www.labome.com/method/T-Cell-Markers-and-B-Cell-Markers.html	
		Antibody secreting (plasma cell)	"CD27, CD38, CD138"	IgD	https://www.labome.com/method/T-Cell-Markers-and-B-Cell-Markers.html	
		Antibody secreting (plasmablast)	"CD27, CD38"	"IgD, CD138"	https://www.labome.com/method/T-Cell-Markers-and-B-Cell-Markers.html	
		B regulatory	"CD19, CD24, CD38, CD19, CD25, CD71"		"https://www.labome.com/method/T-Cell-Markers-and-B-Cell-Markers.html, https://www.sciencedirect.com/science/article/pii/S107476131500134X#tbl1"	
		Transitional cells	" IgM, CD23, B220, CD19"		https://www.novusbio.com/antibody-news/how-to-identify-b-cell-subsets-using-flow-cytometry	
		B1 B cells	" CD19, CD43, CD5+B1a, CD5-B1b"	"CD23-, B220, "	https://www.novusbio.com/antibody-news/how-to-identify-b-cell-subsets-using-flow-cytometry	
	Macrophages	Macrophages	"CD68, CD36, CD163, SIRPalpha, MARCO, SIGNR1, LT, TNFalphaR, SIGLEC1, MOMA1, CD168, CD206, CD64"	"F4/80+CD11b, F4/80"	https://doi.org/10.3389/fimmu.2015.00480	
	Littoral cells	Littoral cells	"CD31, VWF, CD8alpha, Stabilin-1, FHOD1, CD206, BCL2"			
	Endothelial stave cells	Endothelial stave cells	"CD34, CD31, CD206"	CD8alpha	10.1007/BF00492078	surrounded by reticular fibres which can be imaged by silver stains etc. No specific markers except for endothelial ones
Thymus	T lymphoblasts					
	Macrophages					
	Cortical thymic epithelial cells	General	" MHC-II, Beta-5t, Ly51, CK8, DLL4, CXCL12, CCL25, Prss16, CD83, CD205"			
		Embryo lineage	Claudin beta57	"Claudin3,4, CD205"		
						
	Medullary thymic epithelial cells	General	"Aire, MHC-II, Fezf2, RANK, CD80, CD86, CCL21, CK5, LTbetaR"		doi.org/10.1146/annurev-immunol-051116-052320	
		Committed progenitor		"Beta5t, CD205, Ly51, UEA1, RANK, MHCII"	doi.org/10.1146/annurev-immunol-051116-052320	
		Immature	"UEA1, RANK, MHCII, "	"Ly51, AIRE"	doi.org/10.1146/annurev-immunol-051116-052320	
		Mature	"UEA1, RANK, MHCII, AIRE"	Ly51 	doi.org/10.1146/annurev-immunol-051116-052320	
	Dendritic cells					
	T lymphocytes					
Lymph nodes	B lymphocytes (developing)					
	Helper T lymphocytes					
	Follicular dendritic cells					
	Macrophages					
	High endothelial venules					
Heart	Serous mesothelial cells					
	Modified cardiac muscle cells					
	Purkinje fibers					
	Ganglionic nerve cells					
Endothelium	endothelial cells					
Lung: trachea	Trachealis muscle					
	Ciliated columnar cells					
	Goblet cells					
	Brush cells					
	Small granule cells					
	Chondrocytes (hyaline cartilage)					
	Some MALT cells					
Lung: bronchus	(same as above)					
	lymphocytes					
Lung: bronchioles	Ciliated pseudostratified columnar epith.					
	Ciliated simple columnar epithelium					
	Simple cuboidal epithelium					
	Bronchiolar exocrine cells (club cells)					
	Brush cells					
	DNES small granule cells					
	Stem cells					
Lung: alveoli	Type I alveolar cells					
	Type II alveolar cells					
	Fibroblasts					
	Capillary endothelial cells					
	Alveolar macrophages (dust cells)					
	Stem cells					
	Squamous respiratory epithelium					
Lung: submucosa	Goblet cells					
	Basal cells					
	Mucin cells					
	Serous cells					
	Mixed compound tubuloacinar glands					
Lung: branch point junctions						
Lung: bronchoalveolar junctions	Simple cuboidal cells					
	Ciliated cells					
	Club cells					
	Brush cells					
	DNES small granule cells					
	Stem cells					
	Simple squamous cells					
