seqname,source,feature,start,end,score,strand,frame,gene_id,gene_type,gene_name,level,hgnc_id,havana_gene,transcript_id,transcript_type,transcript_name,transcript_support_level,tag,havana_transcript,exon_number,exon_id,ont,protein_id,ccdsid
chr1,HAVANA,gene,65419,71585,,+,0,ENSG00000186092.6,protein_coding,OR4F5,2,HGNC:14825,OTTHUMG00000001094.1,,,,,,,,,,,
chr1,HAVANA,gene,450703,451697,,-,0,ENSG00000284733.1,protein_coding,OR4F29,2,HGNC:31275,OTTHUMG00000002860.1,,,,,,,,,,,
chr1,HAVANA,gene,685679,686673,,-,0,ENSG00000284662.1,protein_coding,OR4F16,2,HGNC:15079,OTTHUMG00000002581.1,,,,,,,,,,,
chr1,HAVANA,gene,923928,944581,,+,0,ENSG00000187634.12,protein_coding,SAMD11,2,HGNC:28706,OTTHUMG00000040719.1,,,,,,,,,,,
chr1,HAVANA,gene,944203,959309,,-,0,ENSG00000188976.11,protein_coding,NOC2L,2,HGNC:24517,OTTHUMG00000040720.1,,,,,,,,,,,
chr1,HAVANA,gene,960584,965719,,+,0,ENSG00000187961.14,protein_coding,KLHL17,2,HGNC:24023,OTTHUMG00000040721.1,,,,,,,,,,,
chr1,HAVANA,gene,966482,975865,,+,0,ENSG00000187583.11,protein_coding,PLEKHN1,2,HGNC:25284,OTTHUMG00000040756.1,,,,,,,,,,,
chr1,HAVANA,gene,975204,982093,,-,0,ENSG00000187642.9,protein_coding,PERM1,2,HGNC:28208,OTTHUMG00000040757.1,,,,,,,,,,,
chr1,HAVANA,gene,998962,1000172,,-,0,ENSG00000188290.11,protein_coding,HES4,2,HGNC:24149,OTTHUMG00000040758.1,,,,,,,,,,,
chr1,HAVANA,gene,1001138,1014540,,+,0,ENSG00000187608.10,protein_coding,ISG15,2,HGNC:4053,OTTHUMG00000040777.1,,,,,,,,,,,
chr1,HAVANA,gene,1020120,1056118,,+,0,ENSG00000188157.15,protein_coding,AGRN,2,HGNC:329,OTTHUMG00000040778.1,,,,,overlapping_locus,,,,,,
chr1,HAVANA,gene,1070967,1074306,,-,0,ENSG00000237330.3,protein_coding,RNF223,2,HGNC:40020,OTTHUMG00000185582.1,,,,,,,,,,,
chr1,HAVANA,gene,1081818,1116361,,-,0,ENSG00000131591.17,protein_coding,C1orf159,2,HGNC:26062,OTTHUMG00000000745.1,,,,,,,,,,,
chr1,HAVANA,gene,1173880,1197936,,+,0,ENSG00000162571.14,protein_coding,TTLL10,2,HGNC:26693,OTTHUMG00000000851.1,,,,,,,,,,,
chr1,HAVANA,gene,1203508,1206592,,-,0,ENSG00000186891.14,protein_coding,TNFRSF18,2,HGNC:11914,OTTHUMG00000001414.1,,,,,,,,,,,
chr1,HAVANA,gene,1211340,1214153,,-,0,ENSG00000186827.11,protein_coding,TNFRSF4,2,HGNC:11918,OTTHUMG00000001415.1,,,,,,,,,,,
chr1,HAVANA,gene,1216908,1232067,,-,0,ENSG00000078808.18,protein_coding,SDF4,2,HGNC:24188,OTTHUMG00000001812.1,,,,,,,,,,,
chr1,HAVANA,gene,1232237,1235041,,+,0,ENSG00000176022.7,protein_coding,B3GALT6,2,HGNC:17978,OTTHUMG00000001813.1,,,,,retrogene,,,,,,
chr1,HAVANA,gene,1242446,1246722,,-,0,ENSG00000184163.3,protein_coding,C1QTNF12,2,HGNC:32308,OTTHUMG00000001412.1,,,,,,,,,,,
chr1,HAVANA,gene,1253909,1273864,,-,0,ENSG00000160087.21,protein_coding,UBE2J2,2,HGNC:19268,OTTHUMG00000001911.1,,,,,,,,,,,
chr1,HAVANA,gene,1280436,1292029,,+,0,ENSG00000162572.21,protein_coding,SCNN1D,2,HGNC:10601,OTTHUMG00000002081.1,,,,,,,,,,,
chr1,HAVANA,gene,1292390,1309609,,-,0,ENSG00000131584.19,protein_coding,ACAP3,2,HGNC:16754,OTTHUMG00000002235.1,,,,,ncRNA_host,,,,,,
chr1,HAVANA,gene,1308597,1311677,,+,0,ENSG00000169972.12,protein_coding,PUSL1,2,HGNC:26914,OTTHUMG00000003361.1,,,,,,,,,,,
chr1,HAVANA,gene,1311585,1324687,,-,0,ENSG00000127054.21,protein_coding,INTS11,1,HGNC:26052,OTTHUMG00000003330.1,,,,,"ncRNA_host,overlapping_locus",,,,,,
chr1,HAVANA,gene,1324756,1328896,,+,0,ENSG00000224051.7,protein_coding,CPTP,2,HGNC:28116,OTTHUMG00000003171.1,,,,,,,,,,,
chr1,HAVANA,gene,1331280,1335314,,+,0,ENSG00000169962.5,protein_coding,TAS1R3,2,HGNC:15661,OTTHUMG00000003071.1,,,,,,,,,,,
